areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2020-10-06,918,544275
overview,United Kingdom,K02000001,2020-10-05,7923,543357
overview,United Kingdom,K02000001,2020-10-04,10141,535434
overview,United Kingdom,K02000001,2020-10-03,10002,525293
overview,United Kingdom,K02000001,2020-10-02,13125,515291
overview,United Kingdom,K02000001,2020-10-01,12842,502166
overview,United Kingdom,K02000001,2020-09-30,12427,489324
overview,United Kingdom,K02000001,2020-09-29,10211,476897
overview,United Kingdom,K02000001,2020-09-28,9887,466686
overview,United Kingdom,K02000001,2020-09-27,6960,456799
overview,United Kingdom,K02000001,2020-09-26,6742,449839
overview,United Kingdom,K02000001,2020-09-25,7244,443097
overview,United Kingdom,K02000001,2020-09-24,7605,435853
overview,United Kingdom,K02000001,2020-09-23,7045,428248
overview,United Kingdom,K02000001,2020-09-22,6408,421203
overview,United Kingdom,K02000001,2020-09-21,5589,414795
overview,United Kingdom,K02000001,2020-09-20,5306,409206
overview,United Kingdom,K02000001,2020-09-19,4871,403900
overview,United Kingdom,K02000001,2020-09-18,4964,399029
overview,United Kingdom,K02000001,2020-09-17,4637,394065
overview,United Kingdom,K02000001,2020-09-16,4371,389428
overview,United Kingdom,K02000001,2020-09-15,3554,385057
overview,United Kingdom,K02000001,2020-09-14,3391,381503
overview,United Kingdom,K02000001,2020-09-13,2145,378112
overview,United Kingdom,K02000001,2020-09-12,2672,375967
overview,United Kingdom,K02000001,2020-09-11,3290,373295
overview,United Kingdom,K02000001,2020-09-10,3598,370005
overview,United Kingdom,K02000001,2020-09-09,3331,366407
overview,United Kingdom,K02000001,2020-09-08,3298,363076
overview,United Kingdom,K02000001,2020-09-07,3863,359778
overview,United Kingdom,K02000001,2020-09-06,2447,355915
overview,United Kingdom,K02000001,2020-09-05,2544,353468
overview,United Kingdom,K02000001,2020-09-04,3038,350924
overview,United Kingdom,K02000001,2020-09-03,3098,347886
overview,United Kingdom,K02000001,2020-09-02,2999,344788
overview,United Kingdom,K02000001,2020-09-01,2250,341789
overview,United Kingdom,K02000001,2020-08-31,1500,339539
overview,United Kingdom,K02000001,2020-08-30,1162,338039
overview,United Kingdom,K02000001,2020-08-29,1228,336877
overview,United Kingdom,K02000001,2020-08-28,1632,335649
overview,United Kingdom,K02000001,2020-08-27,1564,334017
overview,United Kingdom,K02000001,2020-08-26,1354,332453
overview,United Kingdom,K02000001,2020-08-25,1247,331099
overview,United Kingdom,K02000001,2020-08-24,1222,329852
overview,United Kingdom,K02000001,2020-08-23,824,328630
overview,United Kingdom,K02000001,2020-08-22,827,327806
overview,United Kingdom,K02000001,2020-08-21,1199,326979
overview,United Kingdom,K02000001,2020-08-20,1466,325780
overview,United Kingdom,K02000001,2020-08-19,1242,324314
overview,United Kingdom,K02000001,2020-08-18,1084,323072
overview,United Kingdom,K02000001,2020-08-17,1284,321988
overview,United Kingdom,K02000001,2020-08-16,599,320704
overview,United Kingdom,K02000001,2020-08-15,697,320105
overview,United Kingdom,K02000001,2020-08-14,1168,319408
overview,United Kingdom,K02000001,2020-08-13,1146,318240
overview,United Kingdom,K02000001,2020-08-12,1206,317094
overview,United Kingdom,K02000001,2020-08-11,1340,315888
overview,United Kingdom,K02000001,2020-08-10,1474,314548
overview,United Kingdom,K02000001,2020-08-09,616,313074
overview,United Kingdom,K02000001,2020-08-08,697,312458
overview,United Kingdom,K02000001,2020-08-07,943,311761
overview,United Kingdom,K02000001,2020-08-06,1084,310818
overview,United Kingdom,K02000001,2020-08-05,1062,309734
overview,United Kingdom,K02000001,2020-08-04,1022,308672
overview,United Kingdom,K02000001,2020-08-03,1043,307650
overview,United Kingdom,K02000001,2020-08-02,556,306607
overview,United Kingdom,K02000001,2020-08-01,543,306051
overview,United Kingdom,K02000001,2020-07-31,675,305508
overview,United Kingdom,K02000001,2020-07-30,925,304833
overview,United Kingdom,K02000001,2020-07-29,1039,303908
overview,United Kingdom,K02000001,2020-07-28,844,302869
overview,United Kingdom,K02000001,2020-07-27,857,302025
overview,United Kingdom,K02000001,2020-07-26,558,301168
overview,United Kingdom,K02000001,2020-07-25,522,300610
overview,United Kingdom,K02000001,2020-07-24,768,300088
overview,United Kingdom,K02000001,2020-07-23,801,299320
overview,United Kingdom,K02000001,2020-07-22,797,298519
overview,United Kingdom,K02000001,2020-07-21,783,297722
overview,United Kingdom,K02000001,2020-07-20,812,296939
overview,United Kingdom,K02000001,2020-07-19,443,296127
overview,United Kingdom,K02000001,2020-07-18,498,295684
overview,United Kingdom,K02000001,2020-07-17,580,295186
overview,United Kingdom,K02000001,2020-07-16,704,294606
overview,United Kingdom,K02000001,2020-07-15,771,293902
overview,United Kingdom,K02000001,2020-07-14,690,293131
overview,United Kingdom,K02000001,2020-07-13,734,292441
overview,United Kingdom,K02000001,2020-07-12,367,291707
overview,United Kingdom,K02000001,2020-07-11,448,291340
overview,United Kingdom,K02000001,2020-07-10,566,290892
overview,United Kingdom,K02000001,2020-07-09,716,290326
overview,United Kingdom,K02000001,2020-07-08,703,289610
overview,United Kingdom,K02000001,2020-07-07,603,288907
overview,United Kingdom,K02000001,2020-07-06,709,288304
overview,United Kingdom,K02000001,2020-07-05,555,287595
overview,United Kingdom,K02000001,2020-07-04,403,287040
overview,United Kingdom,K02000001,2020-07-03,574,286637
overview,United Kingdom,K02000001,2020-07-02,607,286063
overview,United Kingdom,K02000001,2020-07-01,649,285456
overview,United Kingdom,K02000001,2020-06-30,617,284807
overview,United Kingdom,K02000001,2020-06-29,729,284190
overview,United Kingdom,K02000001,2020-06-28,447,283461
overview,United Kingdom,K02000001,2020-06-27,652,283014
overview,United Kingdom,K02000001,2020-06-26,672,282362
overview,United Kingdom,K02000001,2020-06-25,722,281690
overview,United Kingdom,K02000001,2020-06-24,776,280968
overview,United Kingdom,K02000001,2020-06-23,886,280192
overview,United Kingdom,K02000001,2020-06-22,896,279306
overview,United Kingdom,K02000001,2020-06-21,638,278410
overview,United Kingdom,K02000001,2020-06-20,686,277772
overview,United Kingdom,K02000001,2020-06-19,991,277086
overview,United Kingdom,K02000001,2020-06-18,1025,276095
overview,United Kingdom,K02000001,2020-06-17,1014,275070
overview,United Kingdom,K02000001,2020-06-16,1104,274056
overview,United Kingdom,K02000001,2020-06-15,1041,272952
overview,United Kingdom,K02000001,2020-06-14,821,271911
overview,United Kingdom,K02000001,2020-06-13,890,271090
overview,United Kingdom,K02000001,2020-06-12,1050,270200
overview,United Kingdom,K02000001,2020-06-11,1012,269150
overview,United Kingdom,K02000001,2020-06-10,1196,268138
overview,United Kingdom,K02000001,2020-06-09,1156,266942
overview,United Kingdom,K02000001,2020-06-08,1093,265786
overview,United Kingdom,K02000001,2020-06-07,721,264693
overview,United Kingdom,K02000001,2020-06-06,804,263972
overview,United Kingdom,K02000001,2020-06-05,1123,263168
overview,United Kingdom,K02000001,2020-06-04,1249,262045
overview,United Kingdom,K02000001,2020-06-03,1362,260796
overview,United Kingdom,K02000001,2020-06-02,1495,259434
overview,United Kingdom,K02000001,2020-06-01,1434,257939
overview,United Kingdom,K02000001,2020-05-31,1080,256505
overview,United Kingdom,K02000001,2020-05-30,1120,255425
overview,United Kingdom,K02000001,2020-05-29,1526,254305
overview,United Kingdom,K02000001,2020-05-28,1754,252779
overview,United Kingdom,K02000001,2020-05-27,1830,251025
overview,United Kingdom,K02000001,2020-05-26,1668,249195
overview,United Kingdom,K02000001,2020-05-25,1624,247527
overview,United Kingdom,K02000001,2020-05-24,1365,245903
overview,United Kingdom,K02000001,2020-05-23,1525,244538
overview,United Kingdom,K02000001,2020-05-22,2060,243013
overview,United Kingdom,K02000001,2020-05-21,2575,240953
overview,United Kingdom,K02000001,2020-05-20,2714,238378
overview,United Kingdom,K02000001,2020-05-19,3053,235664
overview,United Kingdom,K02000001,2020-05-18,2585,232611
overview,United Kingdom,K02000001,2020-05-17,1837,230026
overview,United Kingdom,K02000001,2020-05-16,2077,228189
overview,United Kingdom,K02000001,2020-05-15,2528,226112
overview,United Kingdom,K02000001,2020-05-14,2623,223584
